epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,440.181,0.94925,0.4439,0.95011,0.89303,0.89272,0.9178,0.48971,1.67956,0.6457,1.35059,0.0009308,0.0009308,0.0009308
110,444.145,0.92107,0.44554,0.94627,0.85079,0.8957,0.91665,0.48588,1.66538,0.64383,1.32246,0.0009209,0.0009209,0.0009209
111,448.094,0.93717,0.4519,0.9542,0.86468,0.88135,0.91006,0.50452,1.64129,0.64045,1.30874,0.000911,0.000911,0.000911
112,452.048,0.92887,0.44169,0.94837,0.87711,0.90246,0.92398,0.5011,1.66165,0.64796,1.33425,0.0009011,0.0009011,0.0009011
113,456.061,0.9326,0.44089,0.94144,0.86609,0.90805,0.92619,0.50457,1.6467,0.63919,1.31724,0.0008912,0.0008912,0.0008912
114,460.03,0.95969,0.45218,0.96077,0.88829,0.89655,0.92343,0.49009,1.67852,0.64491,1.32788,0.0008813,0.0008813,0.0008813
115,464.039,0.97403,0.45085,0.94882,0.9042,0.86795,0.91027,0.50054,1.63012,0.62601,1.32022,0.0008714,0.0008714,0.0008714
116,468.017,0.95758,0.44255,0.95721,0.90655,0.89204,0.92723,0.49339,1.63878,0.64834,1.32288,0.0008615,0.0008615,0.0008615
117,472.033,0.94124,0.44694,0.9578,0.90814,0.88506,0.92688,0.49989,1.63409,0.64051,1.31518,0.0008516,0.0008516,0.0008516
118,476.036,0.9112,0.43168,0.93467,0.89,0.87739,0.91157,0.50431,1.63391,0.64842,1.30675,0.0008417,0.0008417,0.0008417
119,480.013,0.92773,0.43969,0.94483,0.90546,0.86207,0.90253,0.50153,1.649,0.64205,1.30759,0.0008318,0.0008318,0.0008318
120,484.015,0.92169,0.43553,0.94194,0.85258,0.91954,0.91521,0.50364,1.65831,0.65611,1.31823,0.0008219,0.0008219,0.0008219
